"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"48",48,"Archer Daniels Midland",60828,"Juan R. Luciano","Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco","Food Production","Chicago",18,400,"M",0,-4.16854961021614e-05,1
"49",49,"Aetna",60535,"Mark T. Bertolini","Chairman & Chief Executive Officer","Health Care","Health Care: Insurance and Managed Care","Hartford, Conn.",11,501,"M",0,0.0998077252097697,0.999999250110563
"50",50,"FedEx",60319,"Frederick W. Smith","Chairman & Chief Executive Officer","Transportation","Mail, Package, and Freight Delivery","Memphis",18,423,"M",0,-4.40015393704055e-05,2.22044604925031e-16
"51",51,"United Technologies",59837,"Gregory J. Hayes","Chairman, President & Chief Executive Officer","Aerospace & Defense","Aerospace and Defense","Farmington, Conn.",18,287,"M",0,0.159724209301651,1
"52",52,"Prudential Financial",59689,"John R. Strangfeld","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (stock)","Newark, N.J.",18,507,"M",0,0.105200850702768,0.987657717659264
"53",53,"Albertsons Cos.",59678.2,"Robert G. Miller","Chairman & Chief Executive Officer","Food & Drug Stores","Food and Drug Stores","Boise, Idaho",7,345,"M",0,-0.000299006890384822,0.999999999993894
"54",54,"Sysco",55371.1,"Thomas L. Ben�","President, Chief Executive Officer & Director","Wholesalers","Wholesalers: Food and Grocery","Houston",18,606,"M",0,0.000265367887165627,1
"55",55,"Disney",55137,"Robert A. Iger","Chairman & Chief Executive Officer","Media","Entertainment","Burbank, Calif.",18,232,"M",0,-0.000275109030901468,1
"56",56,"Humana",53767,"Bruce D. Broussard","President, Chief Executive Officer & Director","Health Care","Health Care: Insurance and Managed Care","Louisville, Ky.",18,494,"M",0,0.0996997342129631,0.999998434942321
"57",57,"Pfizer",52546,"Ian C. Read","Chairman & Chief Executive Officer","Health Care","Pharmaceuticals","New York City",18,731,"M",0,-4.05539830821184e-05,2.22044604925031e-16
"58",58,"HP",52056,"Dion J. Weisler","President, Chief Executive Officer & Director","Technology","Computers, Office Equipment","Palo Alto, Calif.",18,505,"M",0,-0.000413296043157101,0.999143453677492
"59",59,"Lockheed Martin",51048,"Marillyn A. Hewson","Chairman, President & Chief Executive Officer","Aerospace & Defense","Aerospace and Defense","Bethesda, Md.",18,56,"F",1,0.159581416863281,1
"60",60,"AIG",49520,"Brian Duperreault","President, Chief Executive Officer & Director","Financials","Insurance: Property and Casualty (Stock)","New York City",18,509,"M",0,0.0354217071946374,0.199435250669203
"61",61,"Centene",48572,"Michael F. Neidorff","Chairman & Chief Executive Officer","Health Care","Health Care: Insurance and Managed Care","St. Louis",25,413,"M",0,0.0996159681966645,0.999997242237939
"62",62,"Cisco Systems",48005,"Charles H. Robbins","Chairman & Chief Executive Officer","Technology","Network and Other Communications Equipment","San Jose, Calif.",16,659,"M",0,-0.000411480177968482,0.999999999987543
"64",64,"Energy Transfer Equity",47487,"John W. McReynolds","President & Director","Energy","Pipelines","Dallas",5,354,"M",0,-0.000337617038410822,2.02351130227854e-05
"65",65,"Caterpillar",45462,"D. James Umpleby III","Chairman & Chief Executive Officer","Industrials","Construction and Farm Machinery","Deerfield, Ill.",18,743,"M",0,-0.00012712777556157,2.22044604925031e-16
