rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
882;Nu Skin Enterprises;$2,279.1;Ritch N. Wood;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;Provo, Utah;www.nuskinenterprises.com;-;48,700;NA;
883;Herman Miller;$2,278.2;Andi Owen;President, Chief Executive Officer & Director;Household Products;Home Equipment, Furnishings;Zeeland, Mich.;www.hermanmiller.com;-;7,478;NA;
884;NLV Financial;$2,274.9;Mehran Assadi;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Montpelier, Vt.;www.nationallifegroup.com;-;1,065;NA;
885;Curtiss-Wright;$2,271;David C. Adams;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Charlotte, N.C.;www.curtisswright.com;-;8,600;NA;
886;New Jersey Resources;$2,268.6;Laurence M. Downes;Chairman, President & Chief Executive Officer;Energy;Energy;Wall, N.J.;www.njresources.com;-;1,052;NA;
887;REV Group;$2,267.8;Timothy W. Sullivan;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Milwaukee;www.revgroup.com;-;7,800;NA;
888;Mueller Industries;$2,266.1;Gregory L. Christopher;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Memphis;www.muellerindustries.com;-;4,125;NA;
889;GEO Group;$2,263.4;George C. Zoley;Chairman & Chief Executive Officer;Business Services;Miscellaneous;Boca Raton, Fla.;www.geogroup.com;-;18,512;NA;
890;Allison Transmission Holdings;$2,262;David S. Graziosi;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Indianapolis;www.allisontransmission.com;-;2,700;NA;
891;OGE Energy;$2,261.1;Sean R. Trauschke;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Oklahoma City;www.oge.com;-;2,413;NA;
892;Cheesecake Factory;$2,260.5;David M. Overton;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Food Services;Calabasas Hills, Calif.;www.thecheesecakefactory.com;-;39,100;NA;
893;PRA Health Sciences;$2,259.4;Colin Shannon;Chairman, President & Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;Raleigh, N.C.;www.prahs.com;-;15,800;NA;
894;Tupperware Brands;$2,255.8;Patricia A. Stitzel;President, Chief Executive Officer & Director;Household Products;Household and Personal Products;Orlando;www.tupperwarebrands.com;-;12,000;NA;
895;Euronet Worldwide;$2,252.4;Michael J. Brown;Chairman, President & Chief Executive Officer;Business Services;Financial Data Services;Leawood, Kans.;www.euronetworldwide.com;-;6,600;NA;
896;FLEETCOR Technologies;$2,249.5;Ronald F. Clarke;Chairman & Chief Executive Officer;Business Services;Financial Data Services;Peachtree Corners, Ga.;www.fleetcor.com;-;7,890;NA;
897;Nationstar Mortgage Holdings;$2,247;Jay Bray;Chairman, President & Chief Executive Officer;Financials;Diversified Financials;Coppell, Texas;www.nationstarholdings.com;-;7,600;NA;
898;GoDaddy;$2,231.9;Scott W. Wagner;Chief Executive Officer;Technology;Internet Services and Retailing;Scottsdale, Ariz.;www.godaddy.com;-;5,990;NA;
899;Blackhawk Network Holdings;$2,231.6;Talbott Roche;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Pleasanton, Calif.;www.blackhawknetwork.com;-;3,190;NA;
900;Cboe Global Markets;$2,229.1;Edward T. Tilly;Chairman & Chief Executive Officer;Financials;Securities;Chicago;www.cboe.com;-;889;NA;
901;Snyder’s-Lance;$2,226.8;Carlos Abrams-Rivera;President-Campbell Snacks;Food, Beverages & Tobacco;Food Consumer Products;Charlotte, N.C.;www.snyderslance.com;-;5,900;NA;
902;Murphy Oil;$2,226;Roger W. Jenkins;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;El Dorado, Ark.;www.murphyoilcorp.com;-;1,128;NA;
903;CDK Global;$2,220.2;Brian Krzanich;President, Chief Executive Officer & Director;Technology;Computer Software;Hoffman Estates, Ill.;www.cdkglobal.com;-;8,900;NA;
904;Texas Roadhouse;$2,219.5;W. Kent Taylor;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Food Services;Louisville, Ky.;www.texasroadhouse.com;-;29,524;NA;
905;Kirby;$2,214.4;David W. Grzebinski;President, Chief Executive Officer & Director;Transportation;Shipping;Houston;www.kirbycorp.com;-;5,775;NA;
906;Square;$2,214.3;Jack Dorsey;Chairman, President & Chief Executive Officer;Business Services;Financial Data Services;San Francisco;www.squareup.com;-;2,338;NA;
907;Genesee & Wyoming;$2,208;John C. Hellmann;Chairman, President & Chief Executive Officer;Transportation;Railroads;Darien, Conn.;www.gwrr.com;-;8,000;NA;
908;Zayo Group Holdings;$2,199.8;Daniel P. Caruso;Chairman & Chief Executive Officer;Telecommunications;Telecommunications;Boulder, Colo.;www.zayo.com;-;3,794;NA;
909;NewMarket;$2,198.4;Thomas E. Gottwald;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Richmond, Va.;www.newmarket.com;-;2,223;NA;
910;99 Cents Only Stores;$2,194.1;Jack L. Sinclair;Chief Executive Officer;Retailing;Specialty Retailers: Other;Commerce, Calif.;www.99only.com;-;17,200;NA;
911;PCM;$2,193.4;Frank F. Khulusi;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;El Segundo, Calif.;www.pcm.com;-;4,118;NA;
912;Federated Mutual Insurance;$2,180.9;Jeffrey E. Fetters;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Owatonna, Minn.;www.federatedinsurance.com;-;2,388;NA;
913;HNI;$2,175.9;Jeffrey D. Lorenger;Chairman, President & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Muscatine, Iowa;www.hnicorp.com;-;9,350;NA;
914;Hospitality Properties Trust;$2,171.9;John G. Murray;President, Chief Executive Officer & Director;Financials;Real estate;Newton, Mass.;www.hptreit.com;-;450;NA;
915;Greenbrier Cos.;$2,169.2;William A. Furman;Chairman, President & Chief Executive Officer;Transportation;Transportation Equipment;Lake Oswego, Ore.;www.gbrx.com;-;11,917;NA;
916;Bio-Rad Laboratories;$2,160.2;Norman A. Schwartz;Chairman, President & Chief Executive Officer;Health Care;Scientific,Photographic and  Control Equipment;Hercules, Calif.;www.bio-rad.com;-;8,150;NA;
917;AvalonBay Communities;$2,158.6;Timothy J. Naughton;Chairman, President & Chief Executive Officer;Financials;Real estate;Arlington, Va.;www.avalonbay.com;-;3,123;NA;
918;Renewable Energy Group;$2,158.2;Randolph L. Howard;President, Chief Executive Officer & Director;Energy;Energy;Ames, Iowa;www.regi.com;-;853;NA;
919;Atlas Air Worldwide Holdings;$2,156.5;William J. Flynn;President, Chief Executive Officer & Director;Transportation;Transportation and Logistics;Purchase, N.Y.;www.atlasair.com;-;2,870;NA;
920;Teradata;$2,156;Victor L. Lund;President, Chief Executive Officer & Director;Technology;Information Technology Services;Dayton, Ohio;www.teradata.com;-;10,615;NA;
921;LCI Industries;$2,147.8;Jason D. Lippert;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Elkhart, Ind.;www.lci1.com;-;9,852;NA;
922;Teleflex;$2,146.3;Liam J. Kelly;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Wayne, Pa.;www.teleflex.com;-;14,400;NA;
923;Verisk Analytics;$2,145.2;Scott G. Stephenson;Chairman, President & Chief Executive Officer;Business Services;Financial Data Services;Jersey City, N.J.;www.verisk.com;-;7,192;NA;
924;Popular;$2,145.1;Ignacio Alvarez;President, Chief Executive Officer & Director;Financials;Commercial Banks;Hato Rey, Puerto Rico;www.popular.com;-;7,784;NA;
925;Workday;$2,143.1;Aneel Bhusri;Chief Executive Officer & Director;Technology;Computer Software;Pleasanton, Calif.;www.workday.com;-;8,200;NA;
926;Cooper Cos.;$2,139;Albert G. White III;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Pleasanton, Calif.;www.coopercos.com;-;11,800;NA;
927;Express;$2,138;David G. Kornberg;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;Columbus, Ohio;www.express.com;-;9,576;NA;
928;Teradyne;$2,136.6;Mark E. Jagiela;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;North Reading, Mass.;www.teradyne.com;-;4,500;NA;
929;Werner Enterprises;$2,116.7;Derek J. Leathers;President, Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Omaha;www.werner.com;-;12,154;NA;
930;Oaktree Capital Group;$2,100.2;Jay S. Wintrob;Chairman & Chief Executive Officer;Financials;Securities;Los Angeles;www.oaktreecapital.com;-;930;NA;
931;Woodward;$2,098.7;Thomas A. Gendron;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Fort Collins, Colo.;www.woodward.com;-;6,829;NA;
932;F5 Networks;$2,090;Fran�ois Locoh-Donou;President, Chief Executive Officer & Director;Technology;Network and Other Communications Equipment;Seattle;www.f5.com;-;4,366;NA;
933;Valvoline;$2,084;Samuel J. Mitchell Jr.;Chairman & Chief Executive Officer;Chemicals;Chemicals;Lexington, Ky.;www.valvoline.com;-;5,600;NA;
934;Roadrunner Transportation Systems;$2,082.2;Curtis W. Stoelting;Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Downers Grove, Ill.;www.rrts.com;-;4,645;NA;
935;SemGroup;$2,081.9;Carlin G. Conner;President, Chief Executive Officer & Director;Energy;Pipelines;Tulsa, Okla.;www.semgroupcorp.com;-;1,220;NA;
936;Catalent;$2,075.4;John R. Chiminski;Chairman, President & Chief Executive Officer;Health Care;Pharmaceuticals;Somerset, N.J.;www.catalent.com;-;10,800;NA;
937;Quorum Health;$2,072.2;Robert H. Fish;President, Chief Executive Officer & Director;Health Care;Health Care: Medical Facilities;Brentwood, Tenn.;www.quorumhealth.com;-;11,250;NA;
938;Universal;$2,071.2;George C. Freeman III;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Tobacco;Richmond, Va.;www.universalcorp.com;-;24,000;NA;
939;Nordson;$2,067;Michael F. Hilton;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Westlake, Ohio;www.nordson.com;-;7,532;NA;
940;ResMed;$2,066.7;Michael J. Farrell;Chief Executive Officer & Director;Health Care;Medical Products and Equipment;San Diego;www.resmed.com;-;6,080;NA;
941;Tower International;$2,066;James C. Gouin;Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Livonia, Mich.;www.towerinternational.com;-;7,600;NA;
942;Fred’s;$2,063.5;Joseph M. Anto;Interim Chief Executive Officer & Director;Food & Drug Stores;Food and Drug Stores;Memphis;www.fredsinc.com;-;7,324;NA;
943;Foundation Building Materials;$2,060.9;Ruben D. Mendoza;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Tustin, Calif.;www.fbmsales.com;-;3,782;NA;
944;Kennametal;$2,058.4;Christopher Rossi;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Pittsburgh;www.kennametal.com;-;10,744;NA;
945;Autodesk;$2,056.6;Andrew Anagnost;President, Chief Executive Officer & Director;Technology;Computer Software;San Rafael, Calif.;www.autodesk.com;-;8,800;NA;
946;Ply Gem Holdings;$2,056.3;Gary E. Robinette;Chairman, President & Chief Executive Officer;Materials;Building Materials, Glass;Cary, N.C.;www.plygem.com;-;9,471;NA;
947;Central Garden & Pet;$2,054.5;George C. Roeth;President, Chief Executive Officer & Director;Household Products;Household and Personal Products;Walnut Creek, Calif.;www.central.com;-;4,050;NA;
948;Matson;$2,046.9;Matthew J. Cox;Chairman & Chief Executive Officer;Transportation;Shipping;Honolulu;www.matson.com;-;1,947;NA;
949;EchoStar;$2,039;Michael T. Dugan;President, Chief Executive Officer & Director;Technology;Network and Other Communications Equipment;Englewood, Colo.;www.echostar.com;-;2,100;NA;
950;Genesis Energy;$2,028.4;Grant E. Sims;Chairman & Chief Executive Officer;Energy;Pipelines;Houston;www.genesisenergy.com;-;2,100;NA;
951;SVB Financial Group;$2,022.4;Gregory W. Becker;President, Chief Executive Officer & Director;Financials;Commercial Banks;Santa Clara, Calif.;www.svb.com;-;2,438;NA;
952;Itron;$2,018.2;Philip C. Mezey;President, Chief Executive Officer & Director;Industrials;Electronics, Electrical Equip.;Liberty Lake, Wash.;www.itron.com;-;7,150;NA;
953;Portland General Electric;$2,009;Maria M. Pope;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Portland, Ore.;www.portlandgeneral.com;-;2,906;NA;
954;California Resources;$2,006;Todd A. Stevens;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Los Angeles;www.crc.com;-;1,450;NA;
955;Esterline Technologies;$2,005.3;Curtis C. Reusser;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Bellevue, Wash.;www.esterline.com;-;13,255;NA;
956;Delta Tucker Holdings;$2,004.4;George Krivo;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;McLean, Va.;www.dyn-intl.com;-;8,800;NA;
957;AMN Healthcare Services;$1,988.5;Susan R. Salka;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;San Diego;www.amnhealthcare.com;-;2,980;NA;
958;Griffon;$1,985.9;Ronald J. Kramer;Chairman & Chief Executive Officer;Materials;Building Materials, Glass;New York City;www.griffon.com;-;4,700;NA;
959;Valhi;$1,980;Robert D. Graham;Vice Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Dallas;www.valhi.net;-;2,790;NA;
960;Hexcel;$1,973.3;Nick L. Stanage;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Stamford, Conn.;www.hexcel.com;-;6,259;NA;
961;IDEXX Laboratories;$1,969.1;Jonathan W. Ayers;Chairman, President & Chief Executive Officer;Health Care;Medical Products and Equipment;Westbrook, Maine;www.idexx.com;-;7,600;NA;
962;Deluxe;$1,965.6;Lee J. Schram;Chairman & Chief Executive Officer;Media;Publishing, Printing;Shoreview, Minn.;www.deluxe.com;-;5,886;NA;
963;M/I Homes;$1,962;NA;NA;Media;NA;NA;NA;NA;NA;NA;
964;Kraton;$1,960.4;Kevin M. Fogarty;President, Chief Executive Officer & Director;Chemicals;Chemicals;Houston;www.kraton.com;-;1,931;NA;
965;Stewart Information Services;$1,955.7;Matthew W. Morris;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Houston;www.stewart.com;-;5,960;NA;
966;Marriott Vacations Worldwide;$1,951.9;Stephen P. Weisz;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Orlando;www.marriottvacationsworldwide.com;-;11,000;NA;
967;SPX FLOW;$1,951.5;Marcus G. Michael;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Charlotte, N.C.;www.spxflow.com;-;7,000;NA;
968;ACCO Brands;$1,948.8;Boris Y. Elisman;Chairman, President & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Lake Zurich, Ill.;www.accobrands.com;-;6,620;NA;
969;Echo Global Logistics;$1,943.1;Douglas R. Waggoner;Chairman & Chief Executive Officer;Transportation;Transportation and Logistics;Chicago;www.echo.com;-;2,453;NA;
970;Cadence Design Systems;$1,943;Lip-Bu Tan;Chairman & Chief Executive Officer;Technology;Computer Software;San Jose, Calif.;www.cadence.com;-;7,214;NA;
971;Nuance Communications;$1,939.4;Mark D. Benjamin;Chairman & Chief Executive Officer;Technology;Computer Software;Burlington, Mass.;www.nuance.com;-;11,600;NA;
972;Finish Line;$1,934.1;Samuel M. Sato;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Indianapolis;www.finishline.com;-;8,200;NA;
973;TransUnion;$1,933.8;James M. Peck;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Chicago;www.transunion.com;-;5,100;NA;
974;ServiceNow;$1,933;John J. Donahoe;President, Chief Executive Officer & Director;Technology;Computer Software;Santa Clara, Calif.;www.servicenow.com;-;6,222;NA;
975;Summit Materials;$1,932.6;Thomas W. Hill;President, Chief Executive Officer & Director;Materials;Building Materials, Glass;Denver;www.summit-materials.com;-;6,000;NA;
976;Engility Holdings;$1,931.9;Lynn A. Dugle;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Chantilly, Va.;www.engilitycorp.com;-;8,700;NA;
977;Ferrellgas Partners;$1,930.3;James E. Ferrell;Chairman & Interim Chief Executive Officer;Energy;Energy;Overland Park, Kans.;www.ferrellgas.com;-;3,891;NA;
978;Interactive Brokers Group;$1,927;Thomas P. Peterffy;Chairman & Chief Executive Officer;Financials;Securities;Greenwich, Conn.;www.interactivebrokers.com;-;1,228;NA;
979;Stepan;$1,925;F. Quinn Stepan Jr.;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Northfield, Ill.;www.stepan.com;-;2,096;NA;
980;Oceaneering International;$1,921.5;Roderick A. Larson;President, Chief Executive Officer & Director;Energy;Oil and Gas Equipment, Services;Houston;www.oceaneering.com;-;8,200;NA;
981;Cimarex Energy;$1,918.2;Thomas E. Jorden;Chairman, President & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Denver;www.cimarex.com;-;910;NA;
982;Rexnord;$1,918.2;Todd A. Adams;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Milwaukee;www.rexnord.com;-;8,000;NA;
983;Beazer Homes USA;$1,916.3;Allan P. Merrill;President, Chief Executive Officer & Director;Engineering & Construction;Homebuilders;Atlanta;www.beazer.com;-;1,100;NA;
984;MKS Instruments;$1,916;Gerald G. Colella;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Andover, Mass.;www.mksinst.com;-;4,923;NA;
985;Vail Resorts;$1,907.2;Robert A. Katz;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Broomfield, Colo.;www.vailresorts.com;-;20,150;NA;
986;Ohio National Mutual;$1,907;Gary T. Huffman;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Cincinnati;www.ohionational.com;-;1,300;NA;
987;TopBuild;$1,906.3;Gerald Volas;Chairman & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Daytona Beach, Fla.;www.topbuild.com;-;8,400;NA;
988;Brown & Brown;$1,881.3;J. Powell Brown;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Daytona Beach, Fla.;www.bbinsurance.com;-;8,491;NA;
989;Aerojet Rocketdyne Holdings;$1,877.2;Eileen P. Drake;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;El Segundo, Calif.;www.aerojetrocketdyne.com;-;5,157;NA;
990;Barnes & Noble Education;$1,874.4;Michael P. Huseby;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Basking Ridge, N.J.;www.bned.com;-;13,375;NA;
991;Superior Energy Services;$1,874.1;David D. Dunlap;President, Chief Executive Officer & Director;Energy;Oil and Gas Equipment, Services;Houston;www.superiorenergy.com;-;6,400;NA;
992;VeriFone Systems;$1,871;Michael Pulli;Chairman & Chief Executive Officer;Technology;Financial Data Services;San Jose, Calif.;www.verifone.com;-;5,600;NA;
993;Children’s Place;$1,870.3;Jane T. Elfers;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;Secaucus, N.J.;www.childrensplace.com;-;9,800;NA;
994;Tribune Media;$1,867.1;Peter M. Kern;Interim Chief Executive Officer & Director;Media;Entertainment;Chicago;www.tribunemedia.com;-;6,000;NA;
995;Healthcare Services Group;$1,866.1;Theodore Wahl;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Bensalem, Pa.;www.hcsg.com;-;55,000;NA;
996;SiteOne Landscape Supply;$1,861.7;Doug Black;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Roswell, Ga.;www.siteone.com;-;3,664;NA;
997;Charles River Laboratories Intl;$1,857.6;James C. Foster;Chairman & Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;Wilmington, Mass.;www.criver.com;-;11,800;NA;
998;CoreLogic;$1,851.1;Frank D. Martell;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Irvine, Calif.;www.corelogic.com;-;5,900;NA;
999;Ensign Group;$1,849.3;Christopher R. Christensen;President, Chief Executive Officer & Director;Health Care;Health Care: Medical Facilities;Mission Viejo, Calif.;www.ensigngroup.net;-;21,301;NA;
1000;HCP;$1,848.4;Thomas M. Herzog;President, Chief Executive Officer & Director;Financials;Real estate;Irvine, Calif.;www.hcpi.com;-;190;NA;
