rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
616;Taylor Morrison Home;$3,885.3;Sheryl D. Palmer;Chairman, President & Chief Executive Officer;Engineering & Construction;Homebuilders;Scottsdale, Ariz.;www.taylormorrison.com;-;1,800;NA;
617;Westinghouse Air Brake;$3,881.8;Raymond T. Betler;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Wilmerding, Pa.;www.wabtec.com;-;18,000;NA;
618;Crestwood Equity Partners;$3,880.9;Robert G Phillips;Chairman, President & Chief Executive Officer;Energy;Energy;Houston;www.crestwoodlp.com;-;954;NA;
619;Iron Mountain;$3,845.6;William L. Meaney;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Boston;www.ironmountain.com;-;24,000;NA;
620;Lennox International;$3,839.6;Todd M. Bluedorn;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Richardson, Texas;www.lennoxinternational.com;-;11,450;NA;
621;General Cable;$3,837.2;Massimo Battaini;President, Chief Executive Officer & Director;Industrials;Electronics, Electrical Equip.;Highland Heights, Ky.;www.generalcable.com;-;8,500;NA;
622;American Eagle Outfitters;$3,795.5;Jay L. Schottenstein;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Pittsburgh;www.ae.com;-;24,100;NA;
623;Church & Dwight;$3,776.2;Matthew T. Farrell;President, Chief Executive Officer & Director;Household Products;Household and Personal Products;Ewing, N.J.;www.churchdwight.com;-;4,700;NA;
624;Platform Specialty Products;$3,775.9;Rakesh Sachdev;Chief Executive Officer & Director;Chemicals;Chemicals;West Palm Beach, Fla.;www.platformspecialtyproducts.com;-;7,850;NA;
625;JELD-WEN Holding;$3,763.9;Gary S. Michel;Chairman & Interim Chief Executive Officer;Materials;Building Materials, Glass;Charlotte, N.C.;www.jeld-wen.com;-;21,000;NA;
626;OneMain Holdings;$3,756;Douglas H. Shulman;President, Chief Executive Officer & Director;Financials;Diversified Financials;Evansville, Ind.;www.onemainfinancial.com;-;10,100;NA;
627;Colfax;$3,736.9;Matthew L. Trerotola;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Annapolis Junction, Md.;www.colfaxcorp.com;-;14,300;NA;
